sample,raw_cm,cal_cm
0,18,16.4
1,18,16.4
2,18,16.4
3,18,16.4
4,18,16.4
5,18,16.4
6,18,16.4
7,18,16.4
8,18,16.4
9,18,16.4
10,18,16.4
11,18,16.4
12,18,16.4
13,18,16.4
14,18,16.4
15,18,16.4
16,18,16.4
17,18,16.4
18,18,16.4
19,18,16.4
20,18,16.4
21,18,16.4
22,18,16.4
23,18,16.4
24,18,16.4
25,18,16.4
26,18,16.4
27,18,16.4
28,18,16.4
29,18,16.4
30,18,16.4
31,18,16.4
32,18,16.4
33,18,16.4
34,18,16.4
35,18,16.4
36,18,16.4
37,18,16.4
38,18,16.4
40,18,16.4
41,18,16.4
42,18,16.4
43,18,16.4
44,18,16.4
45,18,16.4
46,18,16.4
48,18,16.4
49,18,16.4
50,18,16.4
51,19,17.4
52,18,16.4
53,18,16.4
54,18,16.4
56,18,16.4
57,18,16.4
58,18,16.4
59,18,16.4
60,18,16.4
61,18,16.4
62,18,16.4
64,18,16.4
65,18,16.4
66,18,16.4
67,18,16.4
68,18,16.4
69,18,16.4
71,18,16.4
72,18,16.4
73,18,16.4
74,18,16.4
75,18,16.4
76,18,16.4
77,19,17.4
79,18,16.4
80,18,16.4
81,18,16.4
82,18,16.4
83,18,16.4
84,18,16.4
85,18,16.4
87,18,16.4
88,18,16.4
89,18,16.4
90,18,16.4
91,18,16.4
92,18,16.4
93,18,16.4
95,18,16.4
96,18,16.4
97,18,16.4
98,18,16.4
