sample,raw_cm,cal_cm
0,8,6.4
1,8,6.4
2,8,6.4
3,8,6.4
4,8,6.4
5,8,6.4
6,8,6.4
7,8,6.4
8,8,6.4
9,8,6.4
10,8,6.4
11,8,6.4
12,8,6.4
13,8,6.4
14,8,6.4
15,8,6.4
16,8,6.4
17,8,6.4
18,8,6.4
19,8,6.4
20,8,6.4
21,8,6.4
22,8,6.4
23,8,6.4
24,8,6.4
25,8,6.4
26,8,6.4
27,8,6.4
28,8,6.4
29,8,6.4
30,8,6.4
31,8,6.4
32,7,5.4
33,8,6.4
34,8,6.4
35,8,6.4
36,8,6.4
37,8,6.4
38,8,6.4
39,8,6.4
40,8,6.4
41,8,6.4
42,8,6.4
43,8,6.4
44,8,6.4
45,8,6.4
46,8,6.4
47,8,6.4
48,8,6.4
49,8,6.4
50,8,6.4
51,8,6.4
52,8,6.4
53,7,5.4
54,8,6.4
55,8,6.4
56,8,6.4
57,8,6.4
58,8,6.4
59,8,6.4
60,8,6.4
61,8,6.4
62,8,6.4
63,8,6.4
64,8,6.4
65,8,6.4
66,8,6.4
67,8,6.4
69,8,6.4
70,8,6.4
71,8,6.4
72,8,6.4
73,8,6.4
74,8,6.4
75,8,6.4
77,8,6.4
78,8,6.4
79,8,6.4
80,8,6.4
81,8,6.4
82,8,6.4
84,8,6.4
85,8,6.4
86,8,6.4
87,8,6.4
88,8,6.4
89,7,5.4
92,8,6.4
93,8,6.4
94,8,6.4
95,8,6.4
96,7,5.4
99,8,6.4
